Product_ID,Brand,Category,Price,Ingredients
0,Minimalist,Treatment,599,Retinol|Coenzyme Q10|Vitamin E|Squalane
1,The Ordinary,Serum,700,Hyaluronic Acid|Vitamin B5
2,The Derma Co,Treatment,499,Salicylic Acid|Witch Hazel
3,Dot & Key,Moisturizer,395,Ceramides|Hyaluronic Acid
4,Minimalist,Serum,699,Vitamin C|Centella Asiatica
5,CeraVe,Moisturizer,1100,Ceramides|Hyaluronic Acid|Niacinamide
6,Cetaphil,Cleanser,333,Glycerin|Panthenol|Niacinamide
7,Neutrogena,Moisturizer,950,Hyaluronic Acid
8,Plum,Serum,550,Vitamin C|Mandarin
9,Mamaearth,Serum,399,Vitamin C|Turmeric
10,Minimalist,Treatment,599,Salicylic Acid|Niacinamide
11,Deconstruct,Treatment,699,Retinol|Bakuchiol|Peptides
12,The Ordinary,Serum,600,Niacinamide|Zinc
13,Re'equil,Sunscreen,780,SPF 50|Octinoxate|Oxybenzone
14,Innisfree,Treatment,1550,Retinol|Cica|Ceramide|Hyaluronic Acid
15,Benton,Serum,1450,Snail Mucin|Bee Venom|Hyaluronic Acid
16,LANEIGE,Serum,1400,Vitamin C|Hyaluronic Acid
17,Paula's Choice,Exfoliant,1200,Salicylic Acid|Green Tea
18,The Derma Co,Serum,599,Vitamin C|Niacinamide|Hyaluronic Acid
19,Dr. Sheth's,Moisturizer,499,Ceramides|Vitamin C
20,Kiehl's,Treatment,4000,Retinol|Peptides|Ceramides
21,Minimalist,Cleanser,299,Salicylic Acid|Glycerin
22,The Ordinary,Exfoliant,850,Glycolic Acid|Aloe Vera
23,Cosrx,Serum,1450,Snail Mucin|Hyaluronic Acid
24,Cetaphil,Moisturizer,550,Hyaluronic Acid|Vitamin E
25,Neutrogena,Cleanser,150,Salicylic Acid
26,Simple,Moisturizer,385,Niacinamide|Vitamin B5|Vitamin E
27,Dot & Key,Moisturizer,595,Vitamin C|Vitamin E|Shea Butter
28,Plum,Serum,450,Niacinamide|Rice Water
29,Minimalist,Serum,799,Peptides|Hyaluronic Acid
30,Deconstruct,Serum,799,Vitamin C|Ferulic Acid
31,Biotique,Cleanser,199,Papaya|Honey
32,Forest Essentials,Moisturizer,2500,Sandalwood|Turmeric|Honey
33,Kama Ayurveda,Toner,1895,Rose Water
34,Mamaearth,Cleanser,349,Tea Tree|Salicylic Acid
35,The Derma Co,Serum,499,Niacinamide|Zinc|Hyaluronic Acid
36,The Ordinary,Serum,950,Multipeptide|Hyaluronic Acid
37,Minimalist,Serum,499,Alpha Arbutin|Hyaluronic Acid
38,CeraVe,Cleanser,1300,Salicylic Acid|Ceramides|Niacinamide
39,Dot & Key,Treatment,695,Retinol|Ceramides|Hibiscus
40,Plum,Treatment,590,Retinol|Bakuchiol
41,Mamaearth,Treatment,499,Retinol|Bakuchiol
42,The Derma Co,Treatment,699,Retinol|Vitamin C
43,Minimalist,Serum,699,Niacinamide|Hyaluronic Acid
44,Deconstruct,Serum,599,Salicylic Acid|Niacinamide
45,Simple,Moisturizer,450,Hyaluronic Acid|Glycerin
46,Neutrogena,Treatment,1200,Retinol|Hyaluronic Acid
47,CeraVe,Treatment,1500,Retinol|Ceramides
48,Kiehl's,Serum,5200,Vitamin C|Hyaluronic Acid
49,Clinique,Moisturizer,3500,Hyaluronic Acid|Activated Aloe Water
50,Minimalist,Serum,399,Niacinamide|Aloe Vera
51,The Derma Co,Treatment,399,Kojic Acid|Vitamin C
52,Fixderma,Sunscreen,450,SPF 30
53,La Shield,Sunscreen,790,SPF 40
54,Bioderma,Serum,1500,Niacinamide|Zinc
55,Sebamed,Moisturizer,600,Panthenol|Allantoin
56,Minimalist,Serum,699,Ferulic Acid|Vitamin C|Vitamin E
57,The Ordinary,Treatment,1200,Retinol|Squalane
58,Dot & Key,Serum,495,Watermelon|Vitamin C|Hyaluronic Acid
59,Paula's Choice,Serum,3400,Niacinamide|Vitamin C
60,The Derma Co,Moisturizer,499,Hyaluronic Acid|Ceramides
61,La Roche-Posay,Cleanser,1800,Ceramides|Niacinamide|Prebiotic Thermal Water
62,La Roche-Posay,Moisturizer,2200,Prebiotic Thermal Water|Ceramide-3|Glycerin
63,Vichy,Serum,2800,Hyaluronic Acid|Volcanic Water
64,SkinCeuticals,Serum,15000,Vitamin C|Ferulic Acid|Vitamin E
65,COSRX,Treatment,1250,Salicylic Acid|Betaine Salicylate
66,COSRX,Moisturizer,1450,Birch Sap|Hyaluronic Acid
67,Sunday Riley,Treatment,7500,Lactic Acid|Licorice|Lemongrass
68,Drunk Elephant,Serum,6800,Vitamin C|Ferulic Acid
69,The Inkey List,Serum,900,Hyaluronic Acid
70,The Inkey List,Cleanser,1100,Salicylic Acid|Zinc
71,Bioderma,Cleanser,1100,Micellar Water|Cucumber Extract
72,Avene,Moisturizer,1600,Thermal Spring Water|Glycerin
73,Differin,Treatment,1500,Adapalene (Retinoid)
74,EltaMD,Sunscreen,3500,Zinc Oxide|Niacinamide|SPF 46
75,Biore,Sunscreen,1200,Hyaluronic Acid|Royal Jelly|SPF 50
76,Laneige,Mask,1900,Squalane|Probiotics|Hyaluronic Acid
77,Glow Recipe,Moisturizer,3200,Watermelon|Hyaluronic Acid
78,Tatcha,Moisturizer,6200,Japanese Wild Rose|Hadasei-3
79,Youth To The People,Cleanser,3000,Kale|Spinach|Green Tea
80,The Ordinary,Mask,1100,Salicylic Acid|Charcoal|Kaolin
81,Murad,Treatment,4500,Salicylic Acid|Niacinamide
82,Fresh,Cleanser,3200,Soy Proteins|Cucumber|Rosewater
83,Kiehl's,Mask,3800,Rare Earth Clays|Aloe Vera
84,Minimalist,Exfoliant,599,Glycolic Acid|Salicylic Acid|Lactic Acid
85,The Ordinary,Serum,900,Azelaic Acid
86,CeraVe,Cleanser,1100,Ceramides|Hyaluronic Acid
87,Neutrogena,Sunscreen,650,Helioplex|SPF 50
88,Supergoop!,Sunscreen,3400,Avobenzone|SPF 40
89,Wishtrend,Serum,1800,Pure Vitamin C 21.5%
90,I'm From,Mask,2100,Mugwort|Glycerin
91,Paula's Choice,Treatment,3200,Azelaic Acid|Salicylic Acid
92,Dr. Jart+,Moisturizer,3500,Ceramidin Complex
93,Foxtale,Serum,595,Retinol|Betaine|Kokum Butter
94,Foxtale,Sunscreen,395,SPF 50|Niacinamide|Vitamin B5
95,Conscious Chemist,Sunscreen,499,SPF 50|Berry Extract|Hyaluronic Acid
96,Conscious Chemist,Moisturizer,599,Ceramides|Oat Extract|Peptides
97,WishCare,Serum,899,Ferulic Acid|Vitamin C|Vitamin E
98,WishCare,Sunscreen,499,SPF 50|Cica|Ceramides
99,Suganda,Serum,699,Niacinamide|Panthenol|Centella Asiatica
100,Suganda,Cleanser,599,Squalane|Glycerin|Decyl Glucoside
101,Chemist at Play,Serum,749,Salicylic Acid|Cica|Niacinamide
102,Chemist at Play,Moisturizer,649,Ceramides|Hyaluronic Acid|Vitamin E
103,L'Oreal,Serum,999,Hyaluronic Acid|Glycerin
104,L'Oreal,Cleanser,399,Glycolic Acid|Salicylic Acid
105,Olay,Moisturizer,1599,Niacinamide|Peptides|Vitamin C
106,Olay,Serum,1999,Retinol 24|Niacinamide
107,Pond's,Cleanser,250,Vitamin C|Niacinamide
108,Pond's,Moisturizer,300,Hyaluronic Acid|Vitamin E
109,Garnier,Serum,549,Vitamin C|Salicylic Acid|Niacinamide
110,Himalaya,Cleanser,150,Neem|Turmeric
111,Himalaya,Mask,200,Neem|Fuller's Earth
112,The Derma Co,Treatment,599,2% Salicylic Acid Mask|Kaolin Clay
113,Minimalist,Sunscreen,599,SPF 50|Multi-Vitamin|Resveratrol
114,Minimalist,Toner,499,PHA|Niacinamide|Salicylic Acid
115,The Ordinary,Serum,1100,Granactive Retinoid 2%|Squalane
116,The Ordinary,Moisturizer,800,Natural Moisturizing Factors|Hyaluronic Acid
117,COSRX,Toner,1450,AHA|BHA|Vitamin C
118,COSRX,Serum,1650,Propolis|Honey|Hyaluronic Acid
119,Bioderma,Cleanser,1600,Atoderm Huile de Douche|Coco Glucoside
120,Bioderma,Moisturizer,1400,Atoderm Intensive Baume|Ceramides
121,Plum,Sunscreen,450,Rice Water|Niacinamide|SPF 50
122,Plum,Moisturizer,550,2% Niacinamide|Rice Water
123,Dot & Key,Serum,695,10% Vitamin C|Saffron|Licorice
124,Dot & Key,Cleanser,395,Watermelon|Vitamin C|AHA
125,Re'equil,Serum,695,0.1% Retinol|Matrixyl 3000
126,Re'equil,Moisturizer,440,Ceramide|Hyaluronic Acid
